SERIJSKI BROJ,NAZIV KOMPONENTE,LINK
579-PIC24FJ64GA002ES,MIKROKONTROLER,https://eu.mouser.com/ProductDetail/Microchip-Technology/PIC24FJ64GA002-E-SO?qs=Xb8IjHhkxj4qzta2VCo6VQ%3D%3D
474-WRL-17146,WI-FI MODUL,https://eu.mouser.com/ProductDetail/SparkFun/WRL-17146?qs=DPoM0jnrROXqYUXDsg9bzA%3D%3D
474-COM-12992,TASTER,https://eu.mouser.com/ProductDetail/SparkFun/COM-12992?qs=WyAARYrbSnYTYDS2ryqd9A%3D%3D
179-SLW-1276864-4A-D,PREKIDAC,https://eu.mouser.com/ProductDetail/CUI-Devices/SLW-1276864-4A-D?qs=1Kr7Jg1SGW90vOt02EYiag%3D%3D
798-A25PA254DSA71,PIN HEADER 5 PINOVA,https://eu.mouser.com/ProductDetail/Hirose-Connector/A2-5PA-2.54DSA71?qs=sGAEpiMZZMvlX3nhDDO4ACnyrefzrFf8uOUZ2R1Vy%252Bs%3D
798-A24PA254DSA71,PIN HEADER 4 PINA,https://eu.mouser.com/ProductDetail/Hirose-Connector/A2-4PA-2.54DSA71?qs=eDUdFcBPps2rNavbaz%2F5kQ%3D%3D
798-A22PA254DSA71,PIN HEADER 2 PINA,https://eu.mouser.com/ProductDetail/Hirose-Connector/A2-2PA-2.54DSA71?qs=eDUdFcBPps0LzTdpQAJ4wQ%3D%3D
798-A22PA254DSA71,PIN HEADER 2 PINA,https://eu.mouser.com/ProductDetail/Hirose-Connector/A2-2PA-2.54DSA71?qs=eDUdFcBPps0LzTdpQAJ4wQ%3D%3D
80-C0603C104K1RAUTO,KONDENZATOR 100 nF,https://eu.mouser.com/ProductDetail/KEMET/C0603C104K1RACAUTO?qs=sGAEpiMZZMsh%252B1woXyUXj2DauOx9ATzFouinhvcdKhg%3D
80-C0603C104K1RAUTO,KONDENZATOR 100 nF,https://eu.mouser.com/ProductDetail/KEMET/C0603C104K1RACAUTO?qs=sGAEpiMZZMsh%252B1woXyUXj2DauOx9ATzFouinhvcdKhg%3D
80-C0603C104K1RAUTO,KONDENZATOR 100 nF,https://eu.mouser.com/ProductDetail/KEMET/C0603C104K1RACAUTO?qs=sGAEpiMZZMsh%252B1woXyUXj2DauOx9ATzFouinhvcdKhg%3D
80-C0603C104K1RAUTO,KONDENZATOR 100 nF,https://eu.mouser.com/ProductDetail/KEMET/C0603C104K1RACAUTO?qs=sGAEpiMZZMsh%252B1woXyUXj2DauOx9ATzFouinhvcdKhg%3D
80-C1210C106M4RAUTO,KONDENZATOR 10 uF,https://eu.mouser.com/ProductDetail/KEMET/C1210C106M4RACAUTO?qs=sGAEpiMZZMsh%252B1woXyUXj8XyrlVCMIpdl9%2Fgm%252BwD03s%3D
667-ERA-6AED103V,OTPORNIK 10 kOma,https://eu.mouser.com/ProductDetail/Panasonic/ERA-6AED103V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FvMJpaQwoquY%3D
667-ERA-6AED103V,OTPORNIK 10 kOma,https://eu.mouser.com/ProductDetail/Panasonic/ERA-6AED103V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FvMJpaQwoquY%3D
667-ERA-6AED103V,OTPORNIK 10 kOma,https://eu.mouser.com/ProductDetail/Panasonic/ERA-6AED103V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FvMJpaQwoquY%3D
667-ERA-6AED103V,OTPORNIK 10 kOma,https://eu.mouser.com/ProductDetail/Panasonic/ERA-6AED103V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FvMJpaQwoquY%3D
667-ERA-6AED472V,OTPORNIK 4.7 kOma,https://eu.mouser.com/ProductDetail/Panasonic/ERA-6AED472V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FD0UkB32ORb8%3D
667-ERA-6AED472V,OTPORNIK 4.7 kOma,https://eu.mouser.com/ProductDetail/Panasonic/ERA-6AED472V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FD0UkB32ORb8%3D
667-ERA-6AED472V,OTPORNIK 4.7 kOma,https://eu.mouser.com/ProductDetail/Panasonic/ERA-6AED472V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FD0UkB32ORb8%3D
667-ERA-6AED472V,OTPORNIK 4.7 kOma,https://eu.mouser.com/ProductDetail/Panasonic/ERA-6AED472V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FD0UkB32ORb8%3D
667-ERA-6AED331V,OTPORNIK 330 Oma,https://eu.mouser.com/ProductDetail/Panasonic/ERA-6AED331V?qs=sGAEpiMZZMtlubZbdhIBINE5Vwz7C5t%2FwjagnMYfRYo%3D
